MATHEMATICAL PATTERN COLLECTION - ORDERBOOK DATA
Analyst: fedfraud
Generated: 2025-07-04 12:36:10 UTC
================================================================================


================================================================================
ORDERBOOK BY SYMBOL
================================================================================

TYPE|EXCHANGE|SYMBOL|RATE|INTERVAL|TIME|BUY_USD|BUY_COIN|SELL_USD|SELL_COIN
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:15:00|30425336.713|278.73698|37866105.843|343.92356
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:20:00|29362558.764|269.20873|37996133.673|345.38045
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:25:00|30296536.659|277.84193|36327298.6285|330.36286
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:30:00|28395945.6535|260.42069|37485580.2225|340.91292
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:35:00|30013327.451|275.14804|35128878.875|319.24968
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:40:00|29428423.9295|269.72577|37777616.191|343.23716
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:45:00|27162304.8065|248.64928|41379735.24|375.73073
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:50:00|26398215.322|241.65768|40381114.791|366.62704
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_00:55:00|28935849.03|265.24468|38810481.7445|352.78811
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:00:00|29767046.3505|273.01707|36344572.646|330.50559
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:05:00|31260043.6845|286.65366|35821901.6355|325.7494
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:10:00|31226059.0085|286.247|35266635.3315|320.50475
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:15:00|29643410.9855|271.71146|39116361.1345|355.42952
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:20:00|29013387.1875|265.8477|40087069.402|364.14897
